Tipo;Nome del sito;descrizione del sito;indirizzo;info;orario ingresso;note orario ingresso;biglietto;indirizzo mail;sito web;note visite guidate;accessibilità;nome;anno;geocoding;formatted_address;CAP;località;latitude;longitude
ville e giardini;Città dei Ragazzi;All'interno attività ludico-creative, con laboratori manipolativi per bambini e ragazzi ed altre iniziative. Info allo 0916714373;Viale degli Abruzzi, 1D;tel. 091 6714373;;Chiusa per inattività dal 01/09/2012;costi: intero 2,00 - ridotto 1,00 per scolaresche su prenotazione telefonica - 5,00 abbonamento;;;;;Città dei Ragazzi;;Viale Duca degli Abruzzi, 1D, Palermo;Viale Duca degli Abruzzi, 1, Palermo, Province of Palermo, Italy;;Palermo;38.1643231;13.3316558
chiese e oratori;Cappella dei Falegnami (1627);cappella;Via Maqueda 172;;da lunedì a venerdì dalle 10.00 alle 12.30;;;;;;;Cappella dei Falegnami;1627;Via Maqueda 172, Palermo;Via Maqueda, 172, 90133 Palermo, Italy;90133;Palermo;38.1146763;13.3620704
ville e giardini;Giardino della Zisa;villa;Piazza Guglielmo il Buono;tel. 091 652 0269;orari: da Martedì a Domenica dalle 7 alle 19;Chiuso Lunedì;ingresso gratuito;;;;;Giardino della Zisa;;;;;;;
ville e giardini;Giardino di Villa Napoli;villa;Via Francesco Speciale;tel. 328 3605846;;Chiuso al pubblico (prossima apertura);;;;;;Giardino di Villa Napoli;;;;;;;
ville e giardini;Giardino Inglese (1853);"all'interno del Giardino servizio ""spazio gioco"" (bambini da 0 a 3 anni) e ""spazio bimbi piccoli"" (fino a 5 anni) della ""Ludoteca del Giardino"", dal Lunedì al Venerdì dalle 9.30 alle 12.30 e dalle 16 alle 19, Il Sabato dalle 9.30 alle 12.30 Info 091.6268360 / 335.1079380";Viale della Libertà;tel. 091 7406790;da Lunedì a Domenica dalle 8 alle alle 20;n.b. in caso di condizioni climatiche avverse, il Giardino rimarrà chiuso al pubblico;;;www.laludotecadelgiardino.it;;;Giardino Inglese;1853;;;;;;
chiese e oratori;Cappella Palatina (1143);cappella;Piazza Indipendenza;;orari: da Lunedì a Sabato dalle 8.15 alle 17.40 ult.ingresso 17 - Domenica e festivi dalle 8.15 alle 13 ult.ingresso 12,15;durante la funzione religiosa dalle 09.45 alle 11.15 non sono ammessi visitatori.;costi: intero 7,00 - ridotto 5,00 per ragazzi dai 18 ai 25 anni facenti parte della Comunità Europea e corpo docente - gratuito x scolaresche (previa prenotazione) sotto 18 ed over 65;;www.federicosecondo.org;la Cappella Palatina + Palazzo Reale costi: biglietto cumulativo 8.50 (ridotto 6.50);;Cappella Palatina;1143;;;;;;
ville e giardini;Orto Botanico (1785);giardino pubblico;Via Lincoln 2/b;;Ottobre da Lunedì a Domenica dalle 9 alle 19 - Novembre tutti i giorni dalle 9 alle 18. Da Dicembre in poi tutti i giorni dalle 9 alle 17;;intero 5,00 - ridotto 4,00 per gruppi min. 20 pax - ridotto 3,00 dai 10 ai 16 anni - ridotto 2,00 over 65 - 1,00 bambini d'età inferiore a 10 anni - biglietto famiglia 10,00 (genitori+1 figlio);;www.ortobotanico.palermo.it;"Il Sito organizza ""visite guidate"" a tema, storico botaniche Per info numero verde 800 905 367";;Orto Botanico;1785;Via Abramo Lincoln, 2B, Palermo;Via Abramo Lincoln, 2, 90133 Palermo, Italy;90133;Palermo;38.1145079;13.3743823
ville e giardini;Parco Ninni Cassarà (2011);parco pubblico;via E. Basile, via Altofonte (bassa) e Largo Claudio Traina (già Corso Pisani);;Periodo invernale (21 ottobre - 21 marzo) tutti i giorni dalle 7.30 alle 18.30. Periodo estivo (22 marzo - 20 ottobre) tutti i giorni dalle 7.30 alle 20.;;;;;;;Parco Ninni Cassarà;2011;;;;;;
ville e giardini;Parco d'Orleans (1797);parco;Corso Re Ruggero;tel. 091 7075038;da Lunedì a Venerdì dalle 9 alle 13 e dalle 15 alle 18 - Sabato e Domenica dalle 9 alle 13;n.b. in caso di condizioni climatiche avverse, il Giardino rimarrà chiuso al pubblico Chiuso i festivi;;;;;;Parco d'Orleans;1797;;;;;;
ville e giardini;Villa Filippina (1755);villa pubblica;Piazza S.Francesco di Paola, 18;;da Lunedì a Venerdì dalle 10 alle 20 - Sab e Dom dalle 10 alle 24;La struttura offre varie attrazioni tra le quali l'osservatorio astronomico (il Sabato e la Domenica dalle 10 alle 13 e dalle 18 alle 22);5,00 (il biglietto è omnicomprensivo di tutte le altre attività offerte all'interno della Villa);;www.villafilippina.it;;;Villa Filippina;1755;Piazza San Francesco di Paola, 18, Palermo;Piazza San Francesco di Paola, 18, 90138 Palermo, Italy;90138;Palermo;38.1216112;13.3520248
ville e giardini;Villa Garibaldi (1864);villa pubblica;Piazza Marina;;tutti i giorni dalle 8 alle 19.30;n.b. in caso di condizioni climatiche avverse, il Giardino rimarrà chiuso al pubblico;;;;;;Villa Garibaldi;1864;;;;;;
ville e giardini;Villa Giulia (1777);villa pubblica;Via Lincoln;tel. 091 7404028;tutti i giorni, festivi compresi, dalle 8 alle 20;n.b. in caso di condizioni climatiche avverse, il Giardino rimarrà chiuso al pubblico;;;;Visite guidate su prenotazione. Per info telefonare allo 091 8431605;;Villa Giulia;1777;;;;;;
chiese e oratori;Cattedrale (1185);chiesa;Corso Vittorio Emanuele;tel. 329 3977513 (informazioni) - 091 334373 (archivio);orari: da Novembre a Febbraio da Lunedì a Sabato dalle 8 alle 17.30 - Domenica e festivi dalle 7 alle 13 e dalle 16 alle 19;da Novembre a Febbraio da Lunedì a Sabato dalle 9.30 alle 13.30 da Marzo ad Ottobre da Lunedì a Sabato dalle 9.00 alle 17.30;costo intero 3,00;;www.cattedrale.palermo.it;Area Monumentale + Museo Diocesano da Lunedì a Sabato dalle 9.30 alle 13 e dalle 14 alle 16 costi: intero 5,00 ridotto 1,00 per under 18 ed 2,00 per over 65 anni;In loco noleggiabile impianto di radioguida, obbligatorio in caso di guida turistica a seguito al costo di 1,50 cad.;Cattedrale;1185;;;;;;
chiese e oratori;Chiesa dei SS. Quaranta Martiri Pisani alla Guilla (1608);chiesa;Piazza dei SS. Quaranta Martiri;tel. 339 1588692 - 329 3977513;orari: la Domenica dalle 9 alle 13;La chiesa è chiusa da Lunedì a Sabato ed è altresì visitabile su prenotazione telefonica;;;;;;Chiesa dei SS. Quaranta Martiri Pisani alla Guilla;1608;;;;;;
chiese e oratori;Chiesa del Monastero delle Cappuccinelle (1750);chiesa;Via delle Cappuccinelle, 109;tel. 091 6114745;il Martedì ed il Mercoledì dalle 9 alle 12, il Giovedì dalle 9.30 alle 12.30 e dalle 15 alle 18 - Domenica dalle 10.30 alle 12.30 e dalle 15 alle 18;Chiusa Lunedì, Venerdì, Sabato e festivi;;;;;;Chiesa del Monastero delle Cappuccinelle;1750;Via delle Cappuccinelle, 109, Palermo;Via Cappuccinelle, 109, 90138 Palermo, Italy;90138;Palermo;38.1160097;13.3519954
musei e gallerie d'arte;Cantieri Culturali alla Zisa;gallerie d'arte;Via Paolo Gili, 4;tel. 091 6513485;Orari: da martedì a domenica dalle 9 alle 19 Chiuso Lunedì;;;;www.cantierizisa.it;;;Cantieri Culturali alla Zisa;;Via Paolo Gili, 4, Palermo;Via Paolo Gili, 4, 90138 Palermo, Italy;90138;Palermo;38.11820290000001;13.3405826
chiese e oratori;Chiesa del Ss. Salvatore (1528);chiesa;Corso Vittorio Emanuele, 395;tel. 091 323392;orari: il Lunedì e da Mercoledì a Sabato dalle 9.30 alle 12.30 e dalle 15 alle 17 - Domenica (1° e 3° di ogni mese) dalle 9 alle 13;Chiuso Martedì;;;;;;Chiesa del Ss. Salvatore;1528;Via Vittorio Emanuele, 395, Palermo;Via Vittorio Emanuele, 395, 90134 Palermo, Italy;90134;Palermo;38.114894;13.3591001
chiese e oratori;Chiesa della Madonna dei Rimedi dei carmelitani Scalzi (1610);chiesa;Piazza Indipendenza;tel. 091 422473;tutti i giorni dalle 7 alle 12 e dalle 16.30 alle 19.30 (Lunedi solo 7 - 12);Chiusa Lunedì mattina;;;www.carmelitaniscalzidipalermo.com;;;Chiesa della Madonna dei Rimedi dei carmelitani Scalzi;1610;;;;;;
chiese e oratori;Chiesa della Madonna dell'Itria ai Cocchieri (1596);chiesa;Piazzetta Chiesa Cocchieri, 1 (ang. Via Alloro);tel. 091 6165848;orari: il Sabato dalle 15.30 alle 18.00 - Domenica dalle 10.30 alle 12.30;Chiusa al pubblico da Lunedì a Venerdì;;;;;;Chiesa della Madonna dell'Itria ai Cocchieri;1596;;;;;;
musei e gallerie d'arte;Catacombe dei Cappuccini;Catacombe dei Cappuccini;Via Cappuccini, 1;tel. 091 6524156 - 329 4150462;tutti i giorni dalle 9 alle 13 e dalle 15 alle 18.;;costi: intero 3,00;;members.xoom.it/niria_di;;;Catacombe dei Cappuccini;;Via Cappuccini, 1, Palermo;Via Cappuccini, 1, 90129 Palermo, Italy;90129;Palermo;38.1111155;13.3499778
chiese e oratori;Chiesa della Magione (Ss. Trinità) (1191);chiesa;Piazza Magione, 44;tel. 091 6170596 (Ass.ne Esperanza) - 328 8039833;da Lunedì a Sabato dalle 8.45 alle 11.45 e dalle 15 alle 18. Domenica e festivi dalle 8.45 alle 12.30;Visitabile anche: Chiostro, Cappella della Misericordia e la Sala S.Cecilia orari: da Lunedì a Sabato dalle 9.30 alle 18.30 - Domenica e festivi dalle 9.30 alle 12.30;"costi: contributo d'ingresso ""offerta libera""";;www.basilicalamagione.diocesipa.it;;;Chiesa della Magione (Ss. Trinità);1191;Piazza Magione, 44, Palermo;Via Magione, 44, 90133 Palermo, Italy;90133;Palermo;38.1149107;13.3684069
